ID,List Price,Duplex?,Bedrooms,Baths - Total,Baths - Full,Baths - Half,Stories,Subdivision,Square Footage,Year Built,Acreage,New Owned?,House Style,Covered Parking Spots,Misc Exterior,Has Pool?,Has Dock?,Fenced Yard,Screened Porch?,Amenities,Golf Course?,Fireplace?,Number of Fireplaces
115,"$369,900",Yes,3,2.5,2,1,2,Carolina Park,1797,2017,0.06,Yes,Townhouse,2,Misc Exterior: Lawn Irrigation; Patio; Porch - Full Front,No,No,No,No,Amenities: Cable TV Available; Lawn Maint Incl; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
117,"$375,000",Yes,3,2.5,2,1,2,Carolina Park,1797,2017,0.06,Yes,Townhouse,2,Misc Exterior: Lawn Irrigation; Patio; Porch - Full Front,No,No,No,No,Amenities: Cable TV Available; Lawn Maint Incl; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
5,"$769,900",No,4,3.5,3,1,2,Carolina Park,2767,2014,0.35,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Lawn Irrigation; Porch - Front Porch; Porch - Screened; Some Thermal Wnd/Doors; Special Yard Lights; Storage/Outbuilding; Other (Use Remarks),No,No,Yes,Yes,Amenities: Cable TV Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
9,"$699,990",No,4,3.5,3,1,2,Carolina Park,3240,2014,0.29,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Lawn Irrigation; Patio - Covered; Porch - Front Porch; Porch - Full Front; Storm Windows,No,No,Yes,No,Amenities: Cable TV Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup,No,Yes,1
62,"$436,625",No,4,3,3,0,2,Carolina Park,2072,2017,0.19,Yes,Traditional,2,Misc Exterior: Lawn Irrigation; Patio; Patio - Covered; Porch - Front Porch,No,No,No,No,Amenities: Bus Line; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,No,0
61,"$446,900",No,3,2.5,2,1,2,Carolina Park,1895,2016,0.11,Yes,Cottage,2,Misc Exterior: Lawn Irrigation; Porch - Full Front; Porch - Screened; Storage/Outbuilding,No,No,No,Yes,Amenities: Bus Line; Cable TV Available; Central TV Antenna; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
25,"$575,000",No,4,3.5,3,1,2,Carolina Park,3237,2014,0.2,No,Traditional,2,Misc Exterior: Fence - Wooden Enclosed; Lawn Irrigation; Porch - Front Porch; Porch - Screened,No,No,Yes,Yes,Amenities: Cable TV Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
27,"$575,000",No,4,3,3,0,2,Carolina Park,3045,2014,0.19,No,Traditional,2,Misc Exterior: Fence - Metal Enclosed; Lawn Irrigation; Patio; Porch - Front Porch; Porch - Screened,No,No,Yes,Yes,Amenities: Cable TV Available; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
60,"$464,900",No,3,2.5,2,1,2,Carolina Park,1895,2017,0.13,Yes,Cottage,2,Misc Exterior: Lawn Irrigation; Porch - Full Front; Porch - Screened; Storage/Outbuilding,No,No,No,Yes,Amenities: Bus Line; Cable TV Available; Central TV Antenna; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
59,"$469,900",No,4,2,2,0,1,Carolina Park,2177,2015,0.32,No,Patio,2,Misc Exterior: Fence - Wooden Enclosed; Lawn Irrigation; Patio; Porch - Front Porch; Porch - Screened,No,No,Yes,Yes,Amenities: Club House; Neighborhood Pool; Play Park; Tennis Court; Trash Pickup; Walk/Jog Trails,No,Yes,1
